Review_ID,Customer_ID,Service_Type,Rating,Sentiment_Label,Review_Text
R100052,C50052,Policy Purchase,3,Neutral,Communication was average.
R100053,C50053,Customer Support,5,Positive,The policy purchase was seamless and easy to understand.
R100054,C50054,Policy Purchase,2,Negative,I had a frustrating experience with customer care.
R100055,C50055,Claim,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100056,C50056,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100057,C50057,Customer Support,2,Negative,Very poor service. No response for days.
R100058,C50058,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100059,C50059,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100060,C50060,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100061,C50061,Claim,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100062,C50062,Claim,2,Negative,I had a frustrating experience with customer care.
R100063,C50063,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100064,C50064,Claim,5,Positive,Quick claim settlement. Totally impressed!
R100065,C50065,Customer Support,5,Positive,The policy purchase was seamless and easy to understand.
R100066,C50066,Customer Support,3,Neutral,Communication was average.
R100067,C50067,Claim,3,Neutral,"Not bad, but could be more responsive."
R100068,C50068,Customer Support,1,Negative,The policy terms were misleading and confusing.
R100069,C50069,Customer Support,5,Positive,Quick claim settlement. Totally impressed!
R100070,C50070,Policy Purchase,2,Negative,Very poor service. No response for days.
R100071,C50071,Claim,2,Negative,Unfriendly staff and long hold times.
R100072,C50072,Claim,1,Negative,The policy terms were misleading and confusing.
R100073,C50073,Customer Support,5,Positive,Exceptional support and very friendly team.
R100074,C50074,Claim,3,Neutral,"Service was okay, nothing special."
R100075,C50075,Customer Support,3,Neutral,Communication was average.
R100076,C50076,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100077,C50077,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100078,C50078,Policy Purchase,4,Positive,Customer support was helpful and knowledgeable.
R100079,C50079,Policy Purchase,3,Neutral,"It worked as expected, no major issues."
R100080,C50080,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100081,C50081,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100082,C50082,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100083,C50083,Policy Purchase,3,Neutral,Neither satisfied nor dissatisfied.
R100084,C50084,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100085,C50085,Policy Purchase,3,Neutral,Neither satisfied nor dissatisfied.
R100086,C50086,Customer Support,1,Negative,Unfriendly staff and long hold times.
R100087,C50087,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100088,C50088,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100089,C50089,Customer Support,4,Positive,The policy purchase was seamless and easy to understand.
R100090,C50090,Claim,3,Neutral,"It worked as expected, no major issues."
R100091,C50091,Claim,5,Positive,I'm happy with the insurance product and services.
R100092,C50092,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100093,C50093,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100094,C50094,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100095,C50095,Claim,3,Neutral,Communication was average.
R100096,C50096,Customer Support,5,Positive,Customer support was helpful and knowledgeable.
R100097,C50097,Claim,2,Negative,Very poor service. No response for days.
R100098,C50098,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100099,C50099,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100100,C50100,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100101,C50101,Customer Support,5,Positive,Exceptional support and very friendly team.
R100102,C50102,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100103,C50103,Claim,2,Negative,Unfriendly staff and long hold times.
R100104,C50104,Customer Support,4,Positive,Customer support was helpful and knowledgeable.
R100105,C50105,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100106,C50106,Claim,2,Negative,I had a frustrating experience with customer care.
R100107,C50107,Claim,2,Negative,Very poor service. No response for days.
R100108,C50108,Customer Support,4,Positive,I'm happy with the insurance product and services.
R100109,C50109,Policy Purchase,2,Negative,The policy terms were misleading and confusing.
R100110,C50110,Claim,2,Negative,Unfriendly staff and long hold times.
R100111,C50111,Claim,2,Negative,Unfriendly staff and long hold times.
R100112,C50112,Customer Support,2,Negative,Very poor service. No response for days.
R100113,C50113,Customer Support,4,Positive,Customer support was helpful and knowledgeable.
R100114,C50114,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100115,C50115,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100116,C50116,Claim,2,Negative,Very poor service. No response for days.
R100117,C50117,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100118,C50118,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100119,C50119,Claim,5,Positive,Exceptional support and very friendly team.
R100120,C50120,Claim,2,Negative,I had a frustrating experience with customer care.
R100121,C50121,Claim,1,Negative,The policy terms were misleading and confusing.
R100122,C50122,Claim,3,Neutral,"It worked as expected, no major issues."
R100123,C50123,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100124,C50124,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100125,C50125,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100126,C50126,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100127,C50127,Claim,3,Neutral,Neither satisfied nor dissatisfied.
R100128,C50128,Policy Purchase,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100129,C50129,Claim,2,Negative,I had a frustrating experience with customer care.
R100130,C50130,Policy Purchase,2,Negative,The policy terms were misleading and confusing.
R100131,C50131,Customer Support,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100132,C50132,Claim,5,Positive,I'm happy with the insurance product and services.
R100133,C50133,Policy Purchase,4,Positive,Customer support was helpful and knowledgeable.
R100134,C50134,Claim,5,Positive,Quick claim settlement. Totally impressed!
R100135,C50135,Customer Support,4,Positive,The policy purchase was seamless and easy to understand.
R100136,C50136,Claim,5,Positive,Exceptional support and very friendly team.
R100137,C50137,Policy Purchase,2,Negative,The policy terms were misleading and confusing.
R100138,C50138,Claim,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100139,C50139,Claim,3,Neutral,"It worked as expected, no major issues."
R100140,C50140,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100141,C50141,Claim,3,Neutral,"Service was okay, nothing special."
R100142,C50142,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100143,C50143,Claim,5,Positive,Exceptional support and very friendly team.
R100144,C50144,Claim,4,Positive,I'm happy with the insurance product and services.
R100145,C50145,Claim,1,Negative,Very poor service. No response for days.
R100146,C50146,Customer Support,1,Negative,The policy terms were misleading and confusing.
R100147,C50147,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100148,C50148,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100149,C50149,Policy Purchase,1,Negative,The policy terms were misleading and confusing.
R100150,C50150,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100151,C50151,Customer Support,5,Positive,Customer support was helpful and knowledgeable.
R100152,C50152,Claim,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100153,C50153,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100154,C50154,Customer Support,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100155,C50155,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100156,C50156,Policy Purchase,3,Neutral,Communication was average.
R100157,C50157,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100158,C50158,Customer Support,5,Positive,Customer support was helpful and knowledgeable.
R100159,C50159,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100160,C50160,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100161,C50161,Claim,1,Negative,I had a frustrating experience with customer care.
R100162,C50162,Claim,3,Neutral,"It worked as expected, no major issues."
R100163,C50163,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100164,C50164,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100165,C50165,Policy Purchase,4,Positive,Customer support was helpful and knowledgeable.
R100166,C50166,Policy Purchase,1,Negative,The policy terms were misleading and confusing.
R100167,C50167,Customer Support,2,Negative,Unfriendly staff and long hold times.
R100168,C50168,Claim,3,Neutral,Communication was average.
R100169,C50169,Customer Support,3,Neutral,Communication was average.
R100170,C50170,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100171,C50171,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100172,C50172,Claim,2,Negative,The policy terms were misleading and confusing.
R100173,C50173,Claim,2,Negative,I had a frustrating experience with customer care.
R100174,C50174,Claim,1,Negative,I had a frustrating experience with customer care.
R100175,C50175,Claim,4,Positive,I'm happy with the insurance product and services.
R100176,C50176,Policy Purchase,2,Negative,Very poor service. No response for days.
R100177,C50177,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100178,C50178,Policy Purchase,5,Positive,I'm happy with the insurance product and services.
R100179,C50179,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100180,C50180,Customer Support,4,Positive,I'm happy with the insurance product and services.
R100181,C50181,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100182,C50182,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100183,C50183,Claim,2,Negative,The policy terms were misleading and confusing.
R100184,C50184,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100185,C50185,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100186,C50186,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100187,C50187,Policy Purchase,3,Neutral,Communication was average.
R100188,C50188,Customer Support,3,Neutral,"Service was okay, nothing special."
R100189,C50189,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100190,C50190,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100191,C50191,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100192,C50192,Policy Purchase,4,Positive,Quick claim settlement. Totally impressed!
R100193,C50193,Policy Purchase,5,Positive,The policy purchase was seamless and easy to understand.
R100194,C50194,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100195,C50195,Claim,2,Negative,The policy terms were misleading and confusing.
R100196,C50196,Claim,3,Neutral,"Service was okay, nothing special."
R100197,C50197,Policy Purchase,4,Positive,Quick claim settlement. Totally impressed!
R100198,C50198,Policy Purchase,3,Neutral,"It worked as expected, no major issues."
R100199,C50199,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100200,C50200,Claim,4,Positive,Exceptional support and very friendly team.
R100201,C50201,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100202,C50202,Customer Support,3,Neutral,Communication was average.
R100203,C50203,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100204,C50204,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100205,C50205,Policy Purchase,2,Negative,Very poor service. No response for days.
R100206,C50206,Customer Support,2,Negative,Unfriendly staff and long hold times.
R100207,C50207,Policy Purchase,2,Negative,Very poor service. No response for days.
R100208,C50208,Policy Purchase,4,Positive,Customer support was helpful and knowledgeable.
R100209,C50209,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100210,C50210,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100211,C50211,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100212,C50212,Claim,1,Negative,The policy terms were misleading and confusing.
R100213,C50213,Claim,5,Positive,Exceptional support and very friendly team.
R100214,C50214,Policy Purchase,5,Positive,Quick claim settlement. Totally impressed!
R100215,C50215,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100216,C50216,Customer Support,3,Neutral,"Service was okay, nothing special."
R100217,C50217,Policy Purchase,5,Positive,The policy purchase was seamless and easy to understand.
R100218,C50218,Policy Purchase,2,Negative,The policy terms were misleading and confusing.
R100219,C50219,Policy Purchase,2,Negative,Very poor service. No response for days.
R100220,C50220,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100221,C50221,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100222,C50222,Policy Purchase,3,Neutral,Communication was average.
R100223,C50223,Claim,4,Positive,Customer support was helpful and knowledgeable.
R100224,C50224,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100225,C50225,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100226,C50226,Customer Support,4,Positive,The policy purchase was seamless and easy to understand.
R100227,C50227,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100228,C50228,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100229,C50229,Policy Purchase,1,Negative,Very poor service. No response for days.
R100230,C50230,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100231,C50231,Policy Purchase,3,Neutral,Communication was average.
R100232,C50232,Claim,5,Positive,Customer support was helpful and knowledgeable.
R100233,C50233,Claim,3,Neutral,"It worked as expected, no major issues."
R100234,C50234,Claim,5,Positive,I'm happy with the insurance product and services.
R100235,C50235,Customer Support,3,Neutral,Communication was average.
R100236,C50236,Claim,3,Neutral,"It worked as expected, no major issues."
R100237,C50237,Claim,4,Positive,The policy purchase was seamless and easy to understand.
R100238,C50238,Customer Support,5,Positive,I'm happy with the insurance product and services.
R100239,C50239,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100240,C50240,Claim,3,Neutral,"It worked as expected, no major issues."
R100241,C50241,Claim,2,Negative,Unfriendly staff and long hold times.
R100242,C50242,Policy Purchase,2,Negative,Unfriendly staff and long hold times.
R100243,C50243,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100244,C50244,Customer Support,5,Positive,Customer support was helpful and knowledgeable.
R100245,C50245,Policy Purchase,1,Negative,The policy terms were misleading and confusing.
R100246,C50246,Customer Support,2,Negative,The policy terms were misleading and confusing.
R100247,C50247,Claim,4,Positive,Exceptional support and very friendly team.
R100248,C50248,Customer Support,4,Positive,Exceptional support and very friendly team.
R100249,C50249,Customer Support,5,Positive,Exceptional support and very friendly team.
R100250,C50250,Claim,3,Neutral,"Not bad, but could be more responsive."
R100251,C50251,Customer Support,5,Positive,Quick claim settlement. Totally impressed!
R100252,C50252,Claim,3,Neutral,"It worked as expected, no major issues."
R100253,C50253,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100254,C50254,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100255,C50255,Customer Support,2,Negative,Very poor service. No response for days.
R100256,C50256,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100257,C50257,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100258,C50258,Customer Support,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100259,C50259,Claim,4,Positive,I'm happy with the insurance product and services.
R100260,C50260,Policy Purchase,3,Neutral,Neither satisfied nor dissatisfied.
R100261,C50261,Claim,3,Neutral,"It worked as expected, no major issues."
R100262,C50262,Customer Support,5,Positive,Exceptional support and very friendly team.
R100263,C50263,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100264,C50264,Claim,3,Neutral,Communication was average.
R100265,C50265,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100266,C50266,Customer Support,5,Positive,Exceptional support and very friendly team.
R100267,C50267,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100268,C50268,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100269,C50269,Customer Support,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100270,C50270,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100271,C50271,Policy Purchase,5,Positive,I'm happy with the insurance product and services.
R100272,C50272,Customer Support,3,Neutral,"Service was okay, nothing special."
R100273,C50273,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100274,C50274,Policy Purchase,2,Negative,I had a frustrating experience with customer care.
R100275,C50275,Claim,3,Neutral,Communication was average.
R100276,C50276,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100277,C50277,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100278,C50278,Customer Support,4,Positive,Exceptional support and very friendly team.
R100279,C50279,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100280,C50280,Policy Purchase,3,Neutral,Communication was average.
R100281,C50281,Claim,3,Neutral,Communication was average.
R100282,C50282,Claim,5,Positive,Quick claim settlement. Totally impressed!
R100283,C50283,Policy Purchase,3,Neutral,"Not bad, but could be more responsive."
R100284,C50284,Claim,5,Positive,Customer support was helpful and knowledgeable.
R100285,C50285,Customer Support,5,Positive,Customer support was helpful and knowledgeable.
R100286,C50286,Policy Purchase,5,Positive,Exceptional support and very friendly team.
R100287,C50287,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100288,C50288,Customer Support,2,Negative,Unfriendly staff and long hold times.
R100289,C50289,Policy Purchase,2,Negative,The policy terms were misleading and confusing.
R100290,C50290,Policy Purchase,3,Neutral,Communication was average.
R100291,C50291,Customer Support,1,Negative,Very poor service. No response for days.
R100292,C50292,Customer Support,5,Positive,I'm happy with the insurance product and services.
R100293,C50293,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100294,C50294,Customer Support,4,Positive,Exceptional support and very friendly team.
R100295,C50295,Claim,3,Neutral,"It worked as expected, no major issues."
R100296,C50296,Customer Support,2,Negative,Unfriendly staff and long hold times.
R100297,C50297,Claim,5,Positive,Quick claim settlement. Totally impressed!
R100298,C50298,Policy Purchase,3,Neutral,Communication was average.
R100299,C50299,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100300,C50300,Policy Purchase,5,Positive,Quick claim settlement. Totally impressed!
R100301,C50301,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100302,C50302,Customer Support,3,Neutral,"Service was okay, nothing special."
R100303,C50303,Claim,3,Neutral,Neither satisfied nor dissatisfied.
R100304,C50304,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100305,C50305,Customer Support,3,Neutral,Communication was average.
R100306,C50306,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100307,C50307,Customer Support,4,Positive,Customer support was helpful and knowledgeable.
R100308,C50308,Customer Support,5,Positive,I'm happy with the insurance product and services.
R100309,C50309,Customer Support,5,Positive,Exceptional support and very friendly team.
R100310,C50310,Customer Support,5,Positive,I'm happy with the insurance product and services.
R100311,C50311,Claim,3,Neutral,"Not bad, but could be more responsive."
R100312,C50312,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100313,C50313,Claim,1,Negative,Very poor service. No response for days.
R100314,C50314,Claim,3,Neutral,"Service was okay, nothing special."
R100315,C50315,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100316,C50316,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100317,C50317,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100318,C50318,Policy Purchase,3,Neutral,Neither satisfied nor dissatisfied.
R100319,C50319,Claim,3,Neutral,Communication was average.
R100320,C50320,Customer Support,3,Neutral,Neither satisfied nor dissatisfied.
R100321,C50321,Policy Purchase,2,Negative,I had a frustrating experience with customer care.
R100322,C50322,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100323,C50323,Claim,4,Positive,Exceptional support and very friendly team.
R100324,C50324,Claim,1,Negative,I had a frustrating experience with customer care.
R100325,C50325,Policy Purchase,2,Negative,I had a frustrating experience with customer care.
R100326,C50326,Claim,5,Positive,I'm happy with the insurance product and services.
R100327,C50327,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100328,C50328,Claim,4,Positive,The policy purchase was seamless and easy to understand.
R100329,C50329,Claim,5,Positive,Exceptional support and very friendly team.
R100330,C50330,Claim,3,Neutral,Neither satisfied nor dissatisfied.
R100331,C50331,Claim,2,Negative,Very poor service. No response for days.
R100332,C50332,Policy Purchase,2,Negative,Very poor service. No response for days.
R100333,C50333,Customer Support,4,Positive,The policy purchase was seamless and easy to understand.
R100334,C50334,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100335,C50335,Customer Support,1,Negative,Unfriendly staff and long hold times.
R100336,C50336,Customer Support,3,Neutral,"Service was okay, nothing special."
R100337,C50337,Customer Support,2,Negative,I had a frustrating experience with customer care.
R100338,C50338,Customer Support,3,Neutral,"Service was okay, nothing special."
R100339,C50339,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100340,C50340,Claim,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100341,C50341,Policy Purchase,3,Neutral,Communication was average.
R100342,C50342,Claim,3,Neutral,Communication was average.
R100343,C50343,Claim,4,Positive,I'm happy with the insurance product and services.
R100344,C50344,Customer Support,1,Negative,Unfriendly staff and long hold times.
R100345,C50345,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100346,C50346,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100347,C50347,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100348,C50348,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100349,C50349,Policy Purchase,3,Neutral,"It worked as expected, no major issues."
R100350,C50350,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100351,C50351,Claim,3,Neutral,Communication was average.
R100352,C50352,Claim,4,Positive,I'm happy with the insurance product and services.
R100353,C50353,Policy Purchase,3,Neutral,Communication was average.
R100354,C50354,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100355,C50355,Claim,5,Positive,I'm happy with the insurance product and services.
R100356,C50356,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100357,C50357,Customer Support,5,Positive,I'm happy with the insurance product and services.
R100358,C50358,Claim,5,Positive,I'm happy with the insurance product and services.
R100359,C50359,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100360,C50360,Customer Support,2,Negative,The policy terms were misleading and confusing.
R100361,C50361,Claim,3,Neutral,"Service was okay, nothing special."
R100362,C50362,Customer Support,1,Negative,The policy terms were misleading and confusing.
R100363,C50363,Claim,3,Neutral,Communication was average.
R100364,C50364,Claim,2,Negative,I had a frustrating experience with customer care.
R100365,C50365,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100366,C50366,Policy Purchase,2,Negative,Very poor service. No response for days.
R100367,C50367,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100368,C50368,Claim,3,Neutral,"Not bad, but could be more responsive."
R100369,C50369,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100370,C50370,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100371,C50371,Claim,4,Positive,The policy purchase was seamless and easy to understand.
R100372,C50372,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100373,C50373,Policy Purchase,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100374,C50374,Claim,5,Positive,I'm happy with the insurance product and services.
R100375,C50375,Claim,3,Neutral,"Service was okay, nothing special."
R100376,C50376,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100377,C50377,Customer Support,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100378,C50378,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100379,C50379,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100380,C50380,Policy Purchase,1,Negative,Claim rejected for unclear reasons. Disappointed.
R100381,C50381,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100382,C50382,Customer Support,2,Negative,The policy terms were misleading and confusing.
R100383,C50383,Customer Support,2,Negative,Very poor service. No response for days.
R100384,C50384,Policy Purchase,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100385,C50385,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100386,C50386,Claim,3,Neutral,"Service was okay, nothing special."
R100387,C50387,Claim,4,Positive,Exceptional support and very friendly team.
R100388,C50388,Claim,4,Positive,Exceptional support and very friendly team.
R100389,C50389,Policy Purchase,4,Positive,The policy purchase was seamless and easy to understand.
R100390,C50390,Claim,5,Positive,Customer support was helpful and knowledgeable.
R100391,C50391,Customer Support,3,Neutral,"Service was okay, nothing special."
R100392,C50392,Claim,4,Positive,Customer support was helpful and knowledgeable.
R100393,C50393,Customer Support,5,Positive,Exceptional support and very friendly team.
