Customer_ID,Age,Gender,Location,Income Level,Number of Active Policies,Total Premium Paid,Claim Frequency,Policy Upgrades,Occupation,Coverage Amount,Policy Type
CUST10034,30,Male,Rural,Medium,1,40963.23,0,1,Retired,108000.0,Property
CUST10035,71,Female,Suburban,Medium,1,27702.5,1,1,Salaried,436000.0,Health
CUST10036,70,Female,Urban,Low,0,17524.28,1,0,Salaried,298000.0,Auto
CUST10037,66,Male,Urban,Medium,3,28065.09,4,1,Business Owner,563000.0,Auto
CUST10038,31,Female,Urban,Medium,3,3299.13,0,0,Retired,589000.0,Auto
CUST10039,31,Female,Suburban,Medium,0,40309.41,0,1,Self-Employed,449000.0,Property
CUST10040,33,Male,Rural,High,2,14542.44,2,1,Retired,427000.0,Auto
CUST10041,66,Male,Urban,Low,3,8054.75,0,2,Salaried,362000.0,Auto
CUST10042,55,Female,Suburban,Medium,0,9158.11,1,2,Student,215000.0,Health
CUST10043,56,Female,Urban,Medium,2,24957.63,0,2,Student,678000.0,Auto
CUST10044,43,Male,Urban,High,4,18757.63,1,2,Salaried,607000.0,Life
CUST10045,43,Male,Rural,Low,3,33277.93,1,2,Business Owner,532000.0,Health
CUST10046,18,Male,Urban,Medium,1,17016.15,0,0,Salaried,605000.0,Life
CUST10047,49,Female,Suburban,Medium,6,17112.56,0,1,Self-Employed,452000.0,Auto
CUST10048,74,Male,Suburban,Medium,1,13014.31,1,0,Salaried,422000.0,Property
CUST10049,32,Female,Suburban,Medium,4,17423.48,0,1,Salaried,283000.0,Health
CUST10050,69,Male,Rural,Medium,2,24873.42,1,0,Self-Employed,570000.0,Property
CUST10051,38,Female,Suburban,Medium,3,27355.3,0,1,Business Owner,360000.0,Health
CUST10052,35,Male,Suburban,Medium,1,19624.6,1,0,Student,487000.0,Life
CUST10053,47,Male,Suburban,Medium,2,38865.9,0,0,Retired,575000.0,Health
CUST10054,30,Female,Urban,Low,6,25233.54,0,0,Salaried,552000.0,Auto
CUST10055,41,Male,Urban,Low,2,19939.22,1,1,Student,362000.0,Health
CUST10056,47,Male,Suburban,Medium,0,34461.83,1,2,Salaried,155000.0,Health
CUST10057,19,Female,Urban,Medium,1,20033.06,2,0,Salaried,508000.0,Health
CUST10058,36,Female,Suburban,High,1,10133.89,0,0,Salaried,498000.0,Property
CUST10059,64,Male,Urban,Medium,3,38051.42,1,0,Retired,560000.0,Life
CUST10060,61,Male,Urban,Medium,4,24017.95,2,0,Business Owner,522000.0,Auto
CUST10061,64,Female,Suburban,Medium,5,30047.87,1,1,Salaried,616000.0,Life
CUST10062,42,Female,Suburban,Medium,0,33864.56,1,1,Retired,505000.0,Auto
CUST10063,67,Female,Suburban,Medium,4,26841.36,1,2,Salaried,651000.0,Auto
CUST10064,31,Female,Urban,Medium,0,19506.98,0,0,Salaried,314000.0,Auto
CUST10065,23,Male,Urban,Medium,1,34220.34,0,0,Salaried,688000.0,Auto
CUST10066,29,Male,Suburban,High,2,24416.9,3,2,Salaried,413000.0,Health
CUST10067,37,Male,Urban,Low,4,23055.32,4,0,Retired,338000.0,Life
CUST10068,40,Female,Urban,Low,2,29526.96,1,1,Retired,652000.0,Health
CUST10069,47,Female,Urban,Medium,4,26692.78,1,0,Salaried,350000.0,Life
CUST10070,47,Male,Urban,Medium,0,19919.66,3,0,Business Owner,594000.0,Auto
CUST10071,55,Female,Urban,High,0,29445.86,0,1,Salaried,239000.0,Health
CUST10072,47,Female,Urban,Medium,3,16788.66,3,0,Self-Employed,563000.0,Auto
CUST10073,58,Male,Urban,Low,4,21391.06,1,1,Self-Employed,512000.0,Life
CUST10074,47,Male,Urban,Low,1,24478.41,0,0,Salaried,599000.0,Health
CUST10075,74,Female,Suburban,Medium,5,16808.9,1,0,Retired,436000.0,Auto
CUST10076,53,Male,Urban,Medium,5,33848.93,0,1,Retired,369000.0,Auto
CUST10077,66,Male,Rural,Medium,4,32277.36,0,1,Salaried,710000.0,Health
CUST10078,51,Female,Rural,Medium,2,36450.18,1,0,Business Owner,523000.0,Property
CUST10079,33,Female,Rural,Low,1,48690.6,0,0,Business Owner,513000.0,Health
CUST10080,41,Female,Urban,Medium,1,23123.62,2,0,Self-Employed,566000.0,Property
CUST10081,31,Female,Urban,Medium,6,21287.61,1,2,Retired,854000.0,Life
CUST10082,43,Male,Rural,High,2,21503.09,2,0,Salaried,358000.0,Health
CUST10083,25,Female,Urban,Medium,1,14151.94,1,0,Business Owner,349000.0,Health
CUST10084,31,Female,Suburban,Medium,4,39418.23,0,2,Salaried,750000.0,Health
CUST10085,48,Male,Rural,High,2,33596.69,0,0,Retired,559000.0,Life
CUST10086,19,Male,Suburban,Low,1,1000.0,2,0,Salaried,457000.0,Life
CUST10087,65,Male,Suburban,Low,1,14761.26,2,0,Salaried,620000.0,Health
CUST10088,21,Female,Urban,Medium,6,27405.84,1,1,Self-Employed,422000.0,Life
CUST10089,18,Female,Urban,Medium,3,16311.69,1,0,Retired,231000.0,Health
CUST10090,72,Male,Suburban,Medium,2,19250.54,0,0,Salaried,673000.0,Life
CUST10091,37,Female,Suburban,High,1,45666.98,2,0,Self-Employed,532000.0,Auto
CUST10092,31,Male,Rural,High,1,18343.34,1,1,Retired,427000.0,Health
CUST10093,57,Female,Rural,High,1,15548.53,1,0,Salaried,471000.0,Auto
CUST10094,42,Male,Rural,Medium,1,26794.6,1,3,Self-Employed,580000.0,Property
CUST10095,42,Male,Rural,Medium,0,22705.12,1,1,Self-Employed,781000.0,Health
CUST10096,20,Male,Suburban,Medium,2,34204.54,1,1,Salaried,648000.0,Health
CUST10097,22,Male,Suburban,Low,1,47974.13,1,2,Salaried,766000.0,Life
CUST10098,55,Male,Suburban,Medium,2,30516.93,1,1,Salaried,582000.0,Health
CUST10099,71,Male,Urban,Medium,2,13093.62,3,0,Salaried,418000.0,Auto
CUST10100,43,Female,Urban,Medium,4,36344.31,2,1,Salaried,703000.0,Property
CUST10101,57,Female,Suburban,Medium,1,20422.84,2,1,Retired,866000.0,Property
CUST10102,55,Male,Rural,High,0,45171.75,0,1,Self-Employed,424000.0,Life
CUST10103,55,Female,Rural,Low,1,27971.94,1,1,Retired,418000.0,Health
CUST10104,21,Female,Urban,Medium,1,21733.57,1,1,Retired,378000.0,Auto
CUST10105,24,Female,Urban,Medium,2,15082.47,1,0,Student,810000.0,Life
CUST10106,47,Female,Urban,Low,3,33011.71,0,0,Retired,614000.0,Auto
CUST10107,47,Male,Urban,Medium,3,3119.01,1,0,Student,344000.0,Auto
CUST10108,73,Female,Urban,Medium,2,5532.76,1,0,Self-Employed,773000.0,Auto
CUST10109,36,Female,Urban,Medium,0,23166.58,2,1,Self-Employed,548000.0,Health
CUST10110,56,Female,Suburban,High,1,41247.55,0,2,Retired,712000.0,Auto
CUST10111,52,Male,Urban,Medium,4,7209.17,2,1,Retired,737000.0,Life
CUST10112,57,Male,Rural,Low,2,19090.01,0,2,Salaried,322000.0,Health
CUST10113,50,Female,Urban,Medium,0,18744.39,1,0,Student,308000.0,Life
CUST10114,50,Female,Urban,Medium,2,18630.82,1,0,Salaried,836000.0,Life
CUST10115,31,Female,Rural,Low,4,23446.79,1,0,Student,390000.0,Life
CUST10116,55,Female,Rural,Medium,2,30461.66,2,0,Salaried,402000.0,Auto
CUST10117,27,Female,Rural,Medium,6,35270.05,0,1,Business Owner,943000.0,Health
CUST10118,74,Male,Urban,Low,2,22888.7,0,0,Self-Employed,282000.0,Health
CUST10119,45,Male,Rural,Medium,2,3746.51,1,1,Student,543000.0,Life
CUST10120,31,Female,Suburban,Low,1,13822.57,1,2,Self-Employed,341000.0,Property
CUST10121,53,Female,Urban,Low,1,40836.97,0,0,Salaried,565000.0,Health
CUST10122,55,Female,Suburban,Medium,2,25325.95,0,1,Business Owner,266000.0,Auto
CUST10123,33,Male,Urban,Low,3,30576.66,0,0,Salaried,174000.0,Property
CUST10124,38,Male,Urban,Medium,2,18384.3,2,1,Self-Employed,702000.0,Auto
CUST10125,45,Female,Urban,Low,3,22233.86,3,0,Self-Employed,760000.0,Property
CUST10126,50,Male,Urban,Low,1,30413.95,1,1,Salaried,64000.0,Property
CUST10127,23,Female,Urban,Medium,4,15408.08,2,1,Business Owner,591000.0,Auto
CUST10128,58,Male,Suburban,Low,4,47956.81,0,1,Salaried,50000.0,Health
CUST10129,32,Male,Urban,Medium,3,34936.73,4,2,Salaried,273000.0,Property
CUST10130,61,Male,Urban,Low,2,36709.32,1,1,Retired,561000.0,Health
CUST10131,20,Male,Urban,Low,2,31485.39,2,0,Salaried,520000.0,Property
CUST10132,60,Male,Urban,Low,3,27207.63,2,0,Salaried,566000.0,Life
CUST10133,64,Male,Urban,High,1,38024.18,1,1,Self-Employed,843000.0,Auto
CUST10134,52,Female,Urban,Medium,1,30899.81,4,2,Student,672000.0,Life
CUST10135,31,Female,Suburban,High,1,3236.61,3,2,Self-Employed,852000.0,Health
CUST10136,19,Female,Urban,High,1,32517.07,0,1,Retired,619000.0,Health
CUST10137,46,Female,Rural,Medium,1,48825.12,2,1,Retired,117000.0,Property
CUST10138,21,Female,Urban,High,2,39402.37,2,2,Self-Employed,551000.0,Health
CUST10139,43,Female,Urban,Low,2,23806.06,0,2,Business Owner,550000.0,Life
CUST10140,68,Female,Suburban,Low,1,26093.96,1,1,Business Owner,777000.0,Life
CUST10141,29,Female,Suburban,Medium,3,25629.68,0,2,Business Owner,690000.0,Property
CUST10142,19,Female,Urban,Low,0,21774.24,1,1,Self-Employed,277000.0,Auto
CUST10143,34,Male,Rural,High,4,29061.86,1,0,Student,606000.0,Property
CUST10144,52,Female,Urban,Medium,6,33516.85,1,1,Salaried,116000.0,Health
CUST10145,27,Female,Suburban,High,3,18488.82,1,1,Self-Employed,527000.0,Health
CUST10146,65,Male,Urban,Low,2,31949.57,1,1,Salaried,787000.0,Health
CUST10147,39,Female,Urban,Medium,3,15856.79,0,1,Salaried,620000.0,Health
CUST10148,58,Female,Suburban,Low,0,18451.6,1,2,Salaried,723000.0,Life
CUST10149,60,Male,Urban,Medium,0,16618.54,1,0,Student,612000.0,Health
CUST10150,38,Male,Urban,High,1,17883.52,2,0,Salaried,1005000.0,Health
CUST10151,32,Male,Urban,Low,2,37011.75,1,2,Retired,523000.0,Property
CUST10152,52,Female,Urban,Medium,2,29247.27,2,1,Salaried,584000.0,Health
CUST10153,65,Female,Suburban,Medium,2,18242.57,0,2,Self-Employed,700000.0,Health
CUST10154,38,Female,Urban,Medium,2,28193.87,1,1,Salaried,463000.0,Health
CUST10155,38,Female,Rural,Medium,1,18801.87,0,2,Salaried,748000.0,Auto
CUST10156,38,Female,Suburban,Low,2,18889.35,1,1,Retired,224000.0,Health
CUST10157,61,Female,Suburban,Medium,0,38848.56,1,1,Salaried,843000.0,Auto
CUST10158,49,Female,Urban,Low,1,32156.54,3,1,Student,744000.0,Health
CUST10159,72,Female,Suburban,Low,1,27795.04,2,1,Retired,71000.0,Health
CUST10160,22,Female,Urban,Medium,1,18581.27,0,0,Retired,354000.0,Life
CUST10161,56,Female,Suburban,Low,3,29897.54,3,2,Salaried,514000.0,Health
CUST10162,26,Male,Suburban,Low,3,25696.31,0,0,Self-Employed,516000.0,Health
CUST10163,70,Female,Suburban,Low,1,28860.5,2,0,Business Owner,165000.0,Health
CUST10164,35,Male,Rural,Medium,4,20974.28,1,0,Salaried,691000.0,Life
CUST10165,38,Female,Urban,Low,1,41161.67,2,3,Self-Employed,531000.0,Health
CUST10166,25,Male,Urban,Medium,3,52379.13,1,0,Student,582000.0,Property
CUST10167,61,Female,Urban,High,6,29993.02,0,1,Self-Employed,332000.0,Health
CUST10168,69,Female,Rural,High,2,34432.27,0,1,Business Owner,422000.0,Life
CUST10169,51,Male,Urban,Medium,2,21104.26,2,1,Retired,479000.0,Property
CUST10170,27,Male,Suburban,High,1,19032.92,1,0,Self-Employed,600000.0,Auto
CUST10171,68,Male,Rural,Medium,4,14838.94,1,0,Retired,303000.0,Life
CUST10172,58,Male,Urban,Low,3,37100.75,0,1,Salaried,456000.0,Auto
CUST10173,74,Male,Urban,Medium,0,20679.05,2,1,Salaried,274000.0,Health
CUST10174,41,Male,Urban,Medium,2,33626.29,0,2,Salaried,416000.0,Health
CUST10175,57,Female,Urban,High,4,19085.6,0,1,Retired,447000.0,Health
CUST10176,41,Female,Rural,Medium,2,26591.85,1,0,Business Owner,440000.0,Life
CUST10177,73,Male,Urban,Medium,5,14391.33,0,0,Self-Employed,625000.0,Health
CUST10178,49,Female,Rural,Medium,7,30994.72,1,2,Retired,562000.0,Health
CUST10179,73,Female,Urban,Low,1,23498.3,3,1,Salaried,111000.0,Property
CUST10180,50,Male,Rural,Medium,1,40389.92,1,1,Salaried,300000.0,Health
CUST10181,55,Female,Urban,High,3,30659.35,2,1,Salaried,562000.0,Health
CUST10182,61,Female,Urban,Low,2,9411.09,3,0,Salaried,298000.0,Health
CUST10183,74,Male,Urban,Low,0,27415.17,1,1,Self-Employed,361000.0,Auto
CUST10184,73,Male,Urban,Medium,1,20442.36,1,0,Salaried,375000.0,Health
CUST10185,68,Female,Suburban,High,3,17698.26,0,1,Student,545000.0,Health
CUST10186,66,Female,Suburban,Medium,2,23362.21,2,1,Salaried,330000.0,Health
CUST10187,51,Male,Urban,Medium,2,38728.7,0,0,Self-Employed,484000.0,Auto
CUST10188,28,Male,Urban,High,2,25879.06,2,0,Self-Employed,394000.0,Health
CUST10189,48,Female,Rural,Low,3,19070.16,3,1,Retired,603000.0,Life
CUST10190,35,Female,Urban,High,2,5958.69,1,3,Salaried,359000.0,Health
CUST10191,40,Male,Urban,High,2,33874.19,0,0,Business Owner,281000.0,Life
CUST10192,39,Male,Urban,High,2,18271.17,0,2,Student,618000.0,Auto
CUST10193,60,Female,Suburban,Low,0,26687.77,0,1,Self-Employed,622000.0,Auto
CUST10194,35,Male,Urban,Medium,4,25299.19,3,1,Salaried,444000.0,Property
CUST10195,57,Male,Urban,Medium,2,21495.94,0,1,Salaried,567000.0,Health
CUST10196,64,Female,Rural,Low,2,28080.3,2,1,Self-Employed,876000.0,Property
CUST10197,58,Male,Rural,Low,2,37587.74,0,0,Student,663000.0,Auto
CUST10198,64,Male,Urban,Low,1,28165.61,2,0,Salaried,759000.0,Health
CUST10199,56,Male,Urban,Medium,1,23347.66,0,1,Retired,478000.0,Health
CUST10200,37,Male,Rural,High,1,1000.0,1,1,Self-Employed,818000.0,Auto
CUST10201,30,Male,Suburban,Low,0,31796.75,1,1,Student,646000.0,Property
CUST10202,62,Male,Suburban,Medium,3,21876.64,0,0,Business Owner,447000.0,Life
CUST10203,18,Female,Urban,Low,3,17904.85,0,2,Salaried,440000.0,Auto
CUST10204,69,Male,Rural,Medium,2,15274.76,1,1,Salaried,549000.0,Property
CUST10205,21,Male,Urban,Medium,2,36159.92,0,1,Self-Employed,539000.0,Property
CUST10206,41,Female,Urban,Low,2,25271.65,0,1,Salaried,662000.0,Life
CUST10207,53,Female,Rural,Medium,2,16662.74,0,2,Self-Employed,412000.0,Health
CUST10208,53,Female,Suburban,Medium,2,37461.85,1,1,Salaried,556000.0,Property
CUST10209,62,Male,Rural,Low,3,12879.06,0,1,Salaried,702000.0,Health
CUST10210,19,Female,Suburban,Medium,1,20406.45,0,3,Self-Employed,583000.0,Auto
CUST10211,45,Female,Urban,Low,3,32604.08,0,1,Salaried,1036000.0,Auto
CUST10212,43,Female,Urban,High,2,22188.61,1,0,Salaried,610000.0,Life
CUST10213,40,Male,Urban,High,2,7684.96,0,2,Salaried,647000.0,Health
CUST10214,32,Female,Rural,Medium,2,33052.72,1,1,Student,397000.0,Property
CUST10215,53,Male,Rural,Medium,3,37939.89,0,0,Salaried,380000.0,Health
CUST10216,44,Male,Suburban,Medium,1,54821.93,1,1,Salaried,521000.0,Auto
CUST10217,23,Female,Suburban,Medium,1,24573.29,0,0,Salaried,547000.0,Property
CUST10218,52,Male,Urban,High,5,29946.21,2,1,Salaried,691000.0,Health
CUST10219,56,Male,Urban,High,1,30046.38,1,0,Business Owner,367000.0,Health
CUST10220,55,Male,Urban,High,2,24855.21,0,1,Retired,751000.0,Health
CUST10221,52,Male,Rural,Low,1,34541.79,2,1,Retired,405000.0,Life
CUST10222,53,Male,Urban,High,0,18391.24,1,1,Self-Employed,519000.0,Health
CUST10223,27,Female,Rural,Medium,0,29873.76,1,2,Salaried,610000.0,Property
CUST10224,47,Male,Rural,Medium,4,26162.85,0,2,Salaried,346000.0,Health
CUST10225,70,Male,Urban,Medium,0,5895.79,1,0,Retired,452000.0,Auto
CUST10226,58,Male,Rural,Low,3,25133.64,0,0,Student,760000.0,Health
CUST10227,55,Male,Rural,Low,1,44164.03,0,1,Business Owner,613000.0,Life
CUST10228,46,Female,Suburban,Medium,3,19304.99,1,0,Retired,533000.0,Health
CUST10229,69,Female,Suburban,Medium,1,24920.88,2,0,Salaried,910000.0,Auto
CUST10230,60,Male,Suburban,Medium,2,14535.36,3,1,Salaried,443000.0,Health
CUST10231,56,Male,Urban,Medium,1,37525.96,0,1,Student,402000.0,Property
CUST10232,67,Female,Suburban,High,2,31958.85,1,0,Salaried,183000.0,Health
CUST10233,21,Male,Rural,High,1,26931.58,0,1,Retired,314000.0,Health
CUST10234,22,Male,Urban,Low,3,15350.94,1,0,Self-Employed,473000.0,Auto
CUST10235,21,Female,Urban,Medium,3,18164.82,0,1,Business Owner,130000.0,Property
CUST10236,53,Female,Suburban,Low,2,27614.79,2,1,Salaried,296000.0,Health
CUST10237,62,Male,Urban,High,3,21734.59,0,0,Self-Employed,1043000.0,Health
CUST10238,33,Female,Rural,Medium,2,26044.63,0,0,Business Owner,568000.0,Auto
CUST10239,42,Male,Suburban,Medium,3,24316.17,1,0,Student,442000.0,Property
CUST10240,31,Male,Urban,Medium,2,14978.6,1,0,Self-Employed,408000.0,Auto
CUST10241,28,Male,Rural,Low,1,26344.21,1,0,Salaried,469000.0,Life
CUST10242,46,Male,Urban,Medium,5,22670.72,0,2,Business Owner,477000.0,Health
CUST10243,51,Female,Urban,Medium,3,25304.42,0,1,Salaried,791000.0,Property
CUST10244,39,Female,Rural,High,2,34177.8,0,2,Retired,268000.0,Life
CUST10245,31,Female,Suburban,Medium,3,4797.82,1,0,Self-Employed,890000.0,Auto
CUST10246,73,Male,Rural,Medium,6,22986.25,1,1,Student,588000.0,Health
CUST10247,41,Female,Rural,Low,3,25464.19,1,1,Salaried,328000.0,Health
CUST10248,56,Male,Urban,Medium,2,6194.62,1,1,Student,461000.0,Life
CUST10249,43,Female,Suburban,Low,1,26969.84,1,0,Self-Employed,432000.0,Life
CUST10250,60,Male,Rural,High,2,36029.56,0,0,Student,271000.0,Property
CUST10251,53,Male,Urban,Low,1,21336.57,2,0,Salaried,464000.0,Health
CUST10252,56,Female,Urban,Medium,1,22407.29,2,1,Salaried,558000.0,Health
CUST10253,33,Male,Urban,Low,1,17710.85,0,1,Retired,658000.0,Health
CUST10254,55,Male,Suburban,Medium,7,18314.87,2,2,Business Owner,171000.0,Health
CUST10255,49,Female,Urban,High,1,8042.84,3,2,Salaried,439000.0,Health
CUST10256,23,Female,Urban,High,1,24233.32,2,0,Salaried,461000.0,Property
CUST10257,51,Male,Rural,Low,0,13113.11,1,2,Retired,715000.0,Health
CUST10258,73,Male,Rural,High,3,22996.34,3,1,Self-Employed,644000.0,Health
CUST10259,25,Male,Rural,Low,2,15159.69,1,1,Salaried,413000.0,Life
CUST10260,47,Male,Urban,Low,3,22535.32,1,0,Salaried,289000.0,Health
CUST10261,44,Female,Suburban,Low,1,23126.64,1,1,Business Owner,687000.0,Life
CUST10262,24,Female,Suburban,High,1,23547.12,1,1,Student,449000.0,Auto
CUST10263,44,Male,Urban,Medium,2,29264.93,0,1,Salaried,493000.0,Auto
CUST10264,42,Male,Urban,Medium,2,28085.68,0,0,Salaried,208000.0,Health
CUST10265,73,Male,Urban,Low,2,35219.86,1,1,Student,475000.0,Life
CUST10266,63,Male,Urban,Medium,0,42492.61,0,1,Salaried,504000.0,Property
CUST10267,58,Female,Rural,High,1,24138.45,1,1,Salaried,341000.0,Health
CUST10268,32,Female,Suburban,High,3,26960.52,0,0,Salaried,406000.0,Auto
CUST10269,42,Female,Rural,High,2,6294.48,1,1,Self-Employed,588000.0,Life
CUST10270,39,Female,Urban,Low,5,30013.37,2,1,Self-Employed,473000.0,Auto
CUST10271,35,Male,Urban,Medium,0,38558.15,0,1,Salaried,340000.0,Health
CUST10272,29,Male,Rural,Low,1,30220.66,0,2,Salaried,392000.0,Life
CUST10273,40,Male,Urban,Medium,4,32455.73,1,2,Salaried,409000.0,Life
CUST10274,68,Female,Urban,Low,2,3802.08,0,1,Self-Employed,600000.0,Property
CUST10275,62,Female,Urban,Medium,0,18225.14,0,0,Self-Employed,621000.0,Health
CUST10276,56,Female,Urban,High,0,16534.37,2,0,Salaried,215000.0,Property
CUST10277,42,Female,Rural,Low,1,23509.94,0,2,Retired,710000.0,Health
CUST10278,27,Male,Suburban,Medium,1,28027.26,0,1,Retired,438000.0,Auto
CUST10279,47,Male,Rural,Low,5,20977.06,1,1,Student,523000.0,Life
CUST10280,27,Female,Rural,Low,3,40150.1,2,0,Self-Employed,359000.0,Health
CUST10281,51,Female,Suburban,Low,1,18745.55,0,1,Salaried,352000.0,Life
CUST10282,63,Male,Suburban,High,6,15488.48,0,1,Retired,50000.0,Health
CUST10283,30,Male,Rural,Medium,2,19903.44,1,1,Self-Employed,382000.0,Property
CUST10284,71,Male,Rural,Low,2,15811.52,3,0,Self-Employed,540000.0,Property
CUST10285,46,Male,Urban,Low,4,43555.35,2,1,Student,442000.0,Life
CUST10286,55,Male,Urban,Medium,2,26219.82,2,1,Self-Employed,246000.0,Life
CUST10287,58,Female,Rural,Low,2,32346.93,1,0,Retired,444000.0,Auto
CUST10288,62,Male,Urban,Low,3,16599.32,0,1,Retired,549000.0,Auto
CUST10289,26,Male,Suburban,Low,1,21201.23,1,1,Salaried,494000.0,Life
CUST10290,30,Female,Suburban,Medium,1,7319.79,0,2,Salaried,628000.0,Health
CUST10291,54,Male,Urban,High,2,28522.95,0,1,Self-Employed,625000.0,Life
CUST10292,31,Male,Urban,Low,2,27405.67,1,2,Salaried,640000.0,Auto
CUST10293,54,Female,Rural,Medium,2,15964.77,0,0,Retired,211000.0,Property
CUST10294,26,Female,Urban,Medium,1,33479.8,0,1,Retired,374000.0,Health
CUST10295,25,Female,Suburban,Low,3,23967.24,3,2,Student,344000.0,Life
CUST10296,56,Female,Urban,Low,2,27183.61,0,2,Salaried,371000.0,Auto
CUST10297,57,Female,Rural,Medium,3,17290.23,1,0,Retired,660000.0,Auto
CUST10298,71,Female,Urban,High,2,30873.16,0,3,Salaried,474000.0,Health
CUST10299,20,Male,Urban,Medium,1,31052.86,2,1,Salaried,495000.0,Health
CUST10300,72,Male,Urban,Medium,0,26965.41,1,1,Salaried,224000.0,Property
CUST10301,73,Male,Urban,Medium,2,17371.92,1,1,Retired,475000.0,Life
CUST10302,64,Male,Suburban,Medium,2,25030.15,1,2,Self-Employed,699000.0,Health
CUST10303,57,Female,Urban,High,1,11542.33,0,1,Salaried,417000.0,Property
CUST10304,50,Female,Suburban,Medium,2,36634.03,0,0,Student,603000.0,Health
CUST10305,49,Female,Urban,Low,2,15258.27,0,2,Salaried,374000.0,Life
CUST10306,24,Male,Urban,Medium,0,30577.38,1,0,Business Owner,953000.0,Life
CUST10307,36,Female,Urban,High,3,42679.4,1,2,Self-Employed,454000.0,Health
CUST10308,51,Male,Urban,Medium,2,49527.5,2,1,Self-Employed,220000.0,Life
CUST10309,31,Female,Suburban,Low,1,14701.52,2,1,Self-Employed,724000.0,Life
CUST10310,67,Male,Urban,Medium,2,24557.53,1,1,Salaried,50000.0,Life
CUST10311,64,Female,Urban,Medium,3,15542.03,0,1,Self-Employed,388000.0,Auto
CUST10312,63,Female,Urban,High,3,18923.34,2,3,Salaried,605000.0,Auto
CUST10313,73,Male,Suburban,High,1,26659.02,1,1,Retired,268000.0,Property
CUST10314,74,Female,Rural,Low,3,24082.89,1,1,Business Owner,338000.0,Health
CUST10315,36,Female,Suburban,Medium,1,41007.19,0,1,Salaried,797000.0,Life
CUST10316,68,Male,Urban,High,1,27957.73,0,0,Salaried,314000.0,Property
CUST10317,71,Male,Urban,Low,1,22473.53,1,1,Salaried,379000.0,Life
CUST10318,43,Female,Urban,Medium,1,24071.84,1,1,Self-Employed,668000.0,Health
CUST10319,34,Female,Urban,Medium,1,28348.37,1,0,Salaried,587000.0,Auto
CUST10320,71,Female,Urban,Low,2,33070.34,1,0,Salaried,478000.0,Life
CUST10321,45,Female,Urban,High,1,4109.08,0,0,Retired,399000.0,Auto
